Issuer Name,Ticker,BICS Level 2,BICS Level 1,Mod Dur (Mid),Cntry of Risk,Amt Out,Cpn,Maturity,Series,BBG Composite,Mty Type,Currency,ISIN,Residual_Maturity,Date_Column,Yield,Date
Repsol International Finance BV,REPSM,Integrated Oils,Energy,0.7189235730028374,ES,621400000.0,2.25,2026-12-10,EMTN,BBB+,AT MATURITY,EUR,XS1148073205,0.728268309377139,YLD_02012026,2.304,2026-01-02
TotalEnergies Capital International SA,TTEFP,Integrated Oils,Energy,0.0191680824199864,FR,1520970000.0,2.5,2026-03-25,EMTN,A+,AT MATURITY,EUR,XS1048519679,0.0164271047227926,YLD_02012026,2.24,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,0.166451651643271,IT,1090900000.0,1.25,2026-05-18,EMTN,A-,AT MATURITY,EUR,XS2176783319,0.164271047227926,YLD_02012026,2.425,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,4.782908105698471,US,1230790000.0,1.231,2031-05-08,EMTN,A,AT MATURITY,EUR,XS1992927902,5.13620807665982,YLD_02012026,3.203,2026-01-02
BP Capital Markets BV,BPLN,Integrated Oils,Energy,12.878071694923232,US,910800000.0,0.933,2040-12-04,EMTN,A,AT MATURITY,EUR,XS2270147924,14.7132101300479,YLD_02012026,4.372,2026-01-02
OMV AG,OMVAV,Integrated Oils,Energy,1.942869130839028,AT,546800000.0,2.0,2028-04-09,EMTN,A-,AT MATURITY,EUR,XS2154347707,2.05886379192334,YLD_02012026,2.414,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,1.9220559285527856,US,1089600000.0,2.519,2028-04-07,EMTN,A,AT MATURITY,EUR,XS2135799679,2.05338809034908,YLD_02012026,2.614,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,6.1642413878707965,US,1080800000.0,1.25,2032-11-11,EMTN,AA-,AT MATURITY,EUR,XS2170386853,6.65023956194387,YLD_02012026,3.357,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,2.684486714678996,IT,1366300000.0,3.625,2029-01-29,EMTN,A-,AT MATURITY,EUR,XS1023703090,2.86652977412731,YLD_02012026,2.812,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,5.383283690388618,US,1102000000.0,0.5,2031-11-08,EMTN,AA-,AT MATURITY,EUR,XS2078735276,5.63997262149213,YLD_02012026,3.103,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,0.8185836610484538,IT,802425000.0,1.5,2027-01-17,EMTN,A-,AT MATURITY,EUR,XS1551068676,0.832306639288159,YLD_02012026,2.353,2026-01-02
BP Capital Markets BV,BPLN,Integrated Oils,Energy,12.83769431684756,US,879600000.0,1.467,2041-09-21,#N/A Field Not Applicable,A,AT MATURITY,EUR,XS2388557998,15.5099247091034,YLD_02012026,4.405,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,5.468680233552151,US,1089600000.0,1.875,2032-04-07,EMTN,AA-,AT MATURITY,EUR,XS2154419118,6.05338809034908,YLD_02012026,3.235,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,0.5168112210690686,US,1082985000.0,2.213,2026-09-25,EMTN,A,AT MATURITY,EUR,XS1114473579,0.520191649555099,YLD_02012026,2.246,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,5.3030079073136775,US,1362000000.0,2.822,2032-04-07,#N/A Field Not Applicable,A,AT MATURITY,EUR,XS2135801160,6.05338809034908,YLD_02012026,3.361,2026-01-02
Acciona Energia Financiacion Filiales SA,ANESM,Renewable Energy,Energy,1.507942295792125,ES,577800000.0,0.375,2027-10-07,EMTN,BBB-,AT MATURITY,EUR,XS2388941077,1.5523613963039,YLD_02012026,2.582,2026-01-02
Kinder Morgan Inc,KMI,Pipeline,Energy,0.9674115197215336,US,529500000.0,2.25,2027-03-16,#N/A Field Not Applicable,BBB+,AT MATURITY,EUR,XS1196817586,0.991101984941821,YLD_02012026,2.463,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,7.921702540402308,US,994860000.0,1.104,2034-11-15,#N/A Field Not Applicable,A,AT MATURITY,EUR,XS2081016763,8.65982203969884,YLD_02012026,3.705,2026-01-02
OMV AG,OMVAV,Integrated Oils,Energy,1.4542204785717752,AT,967200000.0,3.5,2027-09-27,EMTN,A-,AT MATURITY,EUR,XS0834371469,1.52498288843258,YLD_02012026,2.431,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,2.052593116967308,US,1138600000.0,1.25,2028-05-12,EMTN,AA-,AT MATURITY,EUR,XS1411401083,2.1492128678987,YLD_02012026,2.559,2026-01-02
TotalEnergies Capital International SA,TTEFP,Integrated Oils,Energy,6.572118735421777,FR,141570000.0,1.619,2033-07-11,EMTN,A+,AT MATURITY,EUR,XS1856281834,7.31279945242984,YLD_02012026,3.893,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,1.9528026577898228,US,1089600000.0,1.5,2028-04-07,EMTN,AA-,AT MATURITY,EUR,XS2154418730,2.05338809034908,YLD_02012026,2.571,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,1.875093082327648,IT,157570000.0,5.441,2028-04-18,EMTN,A-,AT MATURITY,EUR,BE0934300931,2.08350444900753,YLD_02012026,2.966,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,12.132226925054594,US,1102000000.0,0.875,2039-11-08,EMTN,AA-,AT MATURITY,EUR,XS2078735433,13.6399726214921,YLD_02012026,4.184,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,1.5977872007330614,US,1102000000.0,0.125,2027-11-08,EMTN,AA-,AT MATURITY,EUR,XS2078734626,1.63997262149213,YLD_02012026,2.429,2026-01-02
Roadster Finance DAC,DERSTG,Refining & Marketing,Energy,1.6446634890682426,DE,352680000.0,2.375,2027-12-08,EMTN,BBB-,AT MATURITY,EUR,XS1732478265,1.72210814510609,YLD_02012026,3.119,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,0.0164293598308936,US,1387600000.0,2.5,2026-03-24,EMTN,AA-,AT MATURITY,EUR,XS1048529041,0.0136892539356605,YLD_02012026,2.055,2026-01-02
Shell International Finance BV,RDSALN,Integrated Oils,Energy,2.316992155378089,US,1118200000.0,0.75,2028-08-15,EMTN,AA-,AT MATURITY,EUR,XS1476654584,2.40930869267625,YLD_02012026,2.52,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,2.177222185314702,US,661342540.0,1.594,2028-07-03,EMTN,A,AT MATURITY,EUR,XS1851278777,2.29158110882957,YLD_02012026,2.602,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,1.5910856589765965,US,441816686.3,0.8309999999999998,2027-11-08,EMTN,A,AT MATURITY,EUR,XS1992931508,1.63997262149213,YLD_02012026,2.512,2026-01-02
BP Capital Markets PLC,BPLN,Integrated Oils,Energy,0.8962600927622653,US,1025256019.2,1.573,2027-02-16,EMTN,A,AT MATURITY,EUR,XS1190974011,0.914442162902122,YLD_02012026,2.404,2026-01-02
Repsol International Finance BV,REPSM,Integrated Oils,Energy,4.2293864473660125,ES,108720000.0,5.375,2031-01-27,EMTN,BBB+,AT MATURITY,EUR,XS1352121724,4.85968514715948,YLD_02012026,3.677,2026-01-02
Equinor ASA,EQNR,Integrated Oils,Energy,6.605823208049487,NO,206220000.0,3.345,2033-12-12,EMTN,AA-,AT MATURITY,EUR,XS1004979727,7.73442847364819,YLD_02012026,3.893,2026-01-02
Eni SpA,ENIIM,Integrated Oils,Energy,12.198962778399554,IT,100252500.0,3.875,2043-11-09,EMtN,A-,AT MATURITY,EUR,BE6259268520,17.6427104722793,YLD_02012026,4.512,2026-01-02
BG Energy Capital PLC,BGGRP,Exploration & Production,Energy,6.40553987505397,US,135100000.0,3.5,2033-10-17,EMTN,AA-,AT MATURITY,EUR,XS0982777657,7.58110882956879,YLD_02012026,4.225,2026-01-02
