Country,Issuer Name,Series,Bond_Type,Maturity,TTM,Yield,Swap_Rate,Spread_bps,Coupon,Amount
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2050-08-15,26.23134839151266,3.362151985351991,3.129507460643395,23.26445247085962,0.0,15576675000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2040-07-04,16.11772758384668,3.068390835648996,3.03811909650924,3.0271739139756004,4.75,36116900000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2027-07-04,3.1156741957563314,2.021536627363449,2.2932950034223136,-27.175837605886464,6.5,
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2030-08-15,6.231348391512663,2.289857169675491,2.548119780971937,-25.826261129644614,0.0,12984400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2033-02-15,8.736481861738536,2.547319591676676,2.7231348391512666,-17.581524747459063,2.3,13256400000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2030-01-04,5.620807665982204,2.2523804965919427,2.50180219028063,-24.942169368868726,6.25,11856925000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2053-08-15,29.232032854209447,3.366136543668164,3.1283071868583163,23.78293568098475,1.8,13098000000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,G,Nominal,2031-08-15,7.230663928815879,2.3882776777816694,2.6213771389459275,-23.309946116425806,0.0,11228050000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2028-07-04,4.117727583846681,2.0747116473687632,2.381653661875428,-30.69420145066646,4.75,
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2031-01-04,6.620123203285421,2.356371592697558,2.5768891170431214,-22.05175243455635,5.5,18055700000.0
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2028-01-04,3.619438740588638,2.053005112173014,2.3381300479123888,-28.51249357393746,5.625,
Allemagne,Bundesrepublik Deutschland Bundesanleihe,#N/A Field Not Applicable,Nominal,2032-11-15,8.484599589322382,2.545331634572015,2.707014373716633,-16.168273914461786,2.5,12872200000.0
Italie,Italy Buoni Poliennali Del Tesoro,7Y,Nominal,2031-11-15,7.482546201232033,2.9309016186403136,2.6392607802874744,29.164083835283925,3.15,21100000000.0
Italie,Italy Buoni Poliennali Del Tesoro,11Y,Nominal,2035-02-01,10.69678302532512,3.3781714344697455,2.8373230663928815,54.08483680768641,3.85,20900000000.0
Italie,Italy Buoni Poliennali Del Tesoro,10Y,Nominal,2035-08-01,11.19233401779603,3.440626031081173,2.8636167008898017,57.700933019137146,3.65,21372835000.0
Italie,Italy Buoni Poliennali Del Tesoro,30Y,Nominal,2054-10-01,30.360027378507873,4.3706529857032494,3.126883915126626,124.37690705766235,4.3,14750000000.0
