Issuer Name,Mid Yield to Convention,Amt Out,Cpn,Maturity,Series,Mty Type
Italy Buoni Poliennali Del Tesoro,3.59623703319181,18032000000,0.95,01/03/2037,16Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.48332098151114,16800000000,2.8,15/06/2029,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.12931634404152,18904000000,3.25,01/09/2046,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.38052168196392,9440001000,1.6,28/06/2030,ICPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.44252410180135,12870000000,2.35,15/01/2029,4Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.9306016457636,16705701000,0,01/08/2026,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.00073379196006,19776843000,1.25,01/12/2026,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.95414882447725,17540309000,0,01/04/2026,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.20828079790814,20600000000,2.65,01/12/2027,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.42499267172882,5711308000,0.6,17/11/2028,FUT,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.07741181571352,7800000000,1.1,15/08/2031,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.2920432537495,28290921000,5,01/08/2034,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.94649209148143,15837435000,2.55,15/09/2041,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.08237522970729,19869551000,2.2,01/06/2027,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.33849402300306,17606000000,3.8,01/08/2028,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.47449238538793,23966500000,3,01/08/2029,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.93317005378069,25486727000,1.65,01/03/2032,17Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.5143213412395,3000000000,2.55,15/05/2056,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.59196476514281,23346000000,3.85,15/12/2029,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.60752920730807,25258941000,1.35,01/04/2030,11Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.02745078391273,19841928000,0.85,15/01/2027,8Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,0.942605925308482,15808270000,0.4,15/05/2030,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.68361325170248,16318312000,3.7,15/06/2030,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.13541082254272,17300000000,2.95,15/02/2027,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.17149705650892,24077136000,2,01/02/2028,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.34873645648729,7709235000,0.55,21/05/2026,ICPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,0.898738593002157,6750000000,0.65,28/10/2027,ICPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.10209868944631,17100000000,1.1,01/04/2027,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.82249232143159,6132260000,1.3,14/07/2030,FUT,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.02364701057225,15119000000,3.5,15/01/2026,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.92007763526621,17600000000,1.8,01/03/2041,21Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.07739665282554,16773000000,3.85,15/09/2026,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.67188280517729,18895169000,0.95,01/08/2030,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.25513019832209,3268240000,1.35,16/11/2033,FUT,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.49590825793142,15400000000,1.45,01/03/2036,16Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.51163588742691,30819999209,5.25,01/11/2029,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.85914450901079,25352000000,5,01/09/2040,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.23018449391397,16834623000,2.45,01/09/2050,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.52370663680226,17178000000,2.25,01/09/2036,20Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.1362743606802,18740969000,2.7,01/03/2047,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.75954206258455,17422664000,4,15/11/2030,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.33785133473679,14530000000,4,30/04/2035,13Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.11130718231398,20197000000,2.05,01/08/2027,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.40773816800923,17150000000,0.45,15/02/2029,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,0.89617390948582,18074787000,1.5,15/05/2029,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,0.205819788423889,12570000000,3.1,15/09/2026,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.022967777085,18487000000,0.5,01/02/2026,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.0285845264389,12423130223,7.25,01/11/2026,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.79283292770514,25950073000,0.9,01/04/2031,11Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.73751637221831,23107903000,1.65,01/12/2030,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.98268110081692,19927500000,1.6,01/06/2026,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.4394976411962,13077000000,2.35,15/09/2035,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.7786767272717,26589265000,5,01/08/2039,32Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,#N/A N/A,18427796000,2,01/12/2025,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,0.777424318139253,15872531000,1.3,15/05/2028,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.28485341357449,16494896000,0.5,15/07/2028,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.39464996202061,19742788000,0.1,15/05/2033,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.26331151341486,18300000000,3.4,01/04/2028,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.59037547932968,30206449000,3.5,01/03/2030,16Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.71395073140639,16963750000,2.95,01/09/2038,20Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.50545880574219,9491678000,0.65,15/05/2026,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.85156896329357,21300000000,0.6,01/08/2031,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.97482012303063,17225321000,2.1,15/07/2026,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.65422020032207,14000000000,4.05,30/10/2037,13Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.34699157606424,26576154000,4.75,01/09/2028,15Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.92224499197548,21222898000,4.5,01/03/2026,16Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.14080789989537,22532697000,0.95,15/09/2027,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.03600842261009,20483479000,4.75,01/09/2044,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.18796127772032,27763132148,6.5,01/11/2027,30Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.1663023418957,15756414000,1.25,15/09/2032,CPI,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.22216028189131,19300378000,0.25,15/03/2028,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.10483478019541,26261000000,5.75,01/02/2033,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.4465465719433,17601644000,4.1,01/02/2029,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,1.98705980587311,12323893000,3.8,15/04/2026,3Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.90692872856833,20515000000,0.95,01/12/2031,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.7685410149521,32254500000,6,01/05/2031,31Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.50879161413264,9077369000,3.45,01/02/2036,10Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.07994449215865,16572074000,2.6,28/10/2032,VALR,AT MATURITY
Italy Buoni Poliennali Del Tesoro,2.80440137837734,11550000000,2.85,01/02/2031,5Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,3.09453704325029,18700000000,3.25,15/11/2032,7Y,AT MATURITY
Italy Buoni Poliennali Del Tesoro,4.41394701267106,6500000000,4.65,01/10/2055,30Y,AT MATURITY
