"Ticker","Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"DBHNGR","NSS OLS",0.0709166666666667,1.18179166666667,0.451291666666667,0.298283333333333,12
"DBHNGR","NSS WLS",0.0639666666666667,1.27373333333333,0.437433333333333,0.161716666666667,12
"DE","Cubic Spline",0.0489666666666667,0.115541666666667,0.0769166666666667,1.862075,12
"DE","NSS ECB",0.0252416666666667,0.080475,890.385308333333,0.3753,12
"DE","NSS OLS",0.0336416666666667,0.113583333333333,1438.58899166667,0.532566666666667,12
"DE","NSS WLS",0.0404583333333333,0.18395,2870.71623333333,0.315033333333333,12
"DGFP","Cubic Spline",0.0163,0.0160833333333333,2.00214166666667,11.9719416666667,12
"DGFP","NSS ECB",0.01195,0.00994166666666667,7.418425,0.456216666666667,12
"DGFP","NSS OLS",0.0491166666666667,0.038875,1.07625,7.853025,12
"DGFP","NSS WLS",0.0200666666666667,0.0252166666666667,5.33985833333333,1.171125,12
"DPWDU","NSS ECB",0.0879916666666667,0.0460083333333333,0,0,12
"DPWDU","NSS OLS",0.0879916666666667,0.0460083333333333,0,0,12
"DPWDU","NSS WLS",0.0879916666666667,0.0460083333333333,0,0,12
"DT","Cubic Spline",0.09115,0.496791666666667,0.0823,0.795816666666667,12
"DT","NSS ECB",0.0975666666666667,0.58535,0.166591666666667,0.154508333333333,12
"DT","NSS OLS",0.107125,0.6099,0.142741666666667,0.336233333333333,12
"DT","NSS WLS",0.0980333333333333,0.585283333333333,0.144025,0.136208333333333,12
"DTRGR","Cubic Spline",0.0514083333333333,0.0888083333333333,0.015425,3.38394166666667,12
"DTRGR","NSS ECB",0.0456,0.0727583333333333,2.93234166666667,0.0825083333333333,12
"DTRGR","NSS OLS",0.0485083333333333,0.0759,2.77546666666667,1.18210833333333,12
"DTRGR","NSS WLS",0.0490333333333333,0.08015,0.710516666666667,1.09545,12
"EDF","Cubic Spline",0.23565,4.71738333333333,0.00174166666666667,2.75063333333333,12
"EDF","NSS ECB",0.231241666666667,4.6663,0.180816666666667,2.28076666666667,12
"EDF","NSS OLS",0.412416666666667,3.513,0.415216666666667,17.49085,12
"EDF","NSS WLS",0.232091666666667,4.74155833333333,0.199791666666667,5.5362,12
"EJRAIL","Cubic Spline",0.0208,0.143308333333333,0.0112166666666667,1.58810833333333,12
"EJRAIL","NSS ECB",0.0150833333333333,0.1342,85.7446916666667,0.394166666666667,12
"EJRAIL","NSS OLS",0.0218666666666667,0.176975,0.0413,0.534491666666667,12
"EJRAIL","NSS WLS",0.0222583333333333,0.179433333333333,0.046175,0.489341666666667,12
"ELEVER","NSS ECB",0,0,2.16664166666667,0.136658333333333,12
