"Method","Avg_W_RMSE","Avg_Price_RMSE","Avg_Wiggliness","Avg_Tail_Stab","N_fits"
"NSS ECB",0.031150435624395,0.266964181994192,85.5211879961278,0.513453727008713,1033
"NSS WLS",0.0343797676669894,0.280920425943853,1415624957.2522,0.950746950629235,1033
"NSS OLS",0.0417244917715392,0.25126137463698,1648679.32419032,5.08328180058083,1033
"Cubic Spline",0.0594887521968366,0.452940421792619,0.729831810193322,3.02119332161687,569
